V1,V2,V3
-45,-5,124
-44.9330357142857,-5,98
-44.8660714285714,-5,97
-44.7991071428571,-5,112
-44.7321428571429,-5,123
-44.6651785714286,-5,69
-44.5982142857143,-5,67
-44.53125,-5,96
-44.4642857142857,-5,144
-44.3973214285714,-5,143
-44.3303571428571,-5,153
-44.2633928571429,-5,135
-44.1964285714286,-5,105
-44.1294642857143,-5,109
-44.0625,-5,140
-43.9955357142857,-5,151
-43.9285714285714,-5,139
-43.8616071428571,-5,126
-43.7946428571429,-5,145
-43.7276785714286,-5,120
-43.6607142857143,-5,105
-43.59375,-5,128
-43.5267857142857,-5,113
-43.4598214285714,-5,110
-43.3928571428571,-5,98
-43.3258928571429,-5,112
-43.2589285714286,-5,127
-43.1919642857143,-5,148
-43.125,-5,147
-43.0580357142857,-5,135
-42.9910714285714,-5,107
-42.9241071428571,-5,102
-42.8571428571429,-5,83
-42.7901785714286,-5,109
-42.7232142857143,-5,130
-42.65625,-5,142
-42.5892857142857,-5,181
-42.5223214285714,-5,196
-42.4553571428571,-5,171
-42.3883928571429,-5,156
-42.3214285714286,-5,159
-42.2544642857143,-5,153
-42.1875,-5,177
-42.1205357142857,-5,146
-42.0535714285714,-5,147
-41.9866071428571,-5,150
-41.9196428571429,-5,186
-41.8526785714286,-5,220
-41.7857142857143,-5,238
-41.71875,-5,257
-41.6517857142857,-5,232
-41.5848214285714,-5,216
-41.5178571428571,-5,227
-41.4508928571429,-5,199
-41.3839285714286,-5,231
-41.3169642857143,-5,236
-41.25,-5,238
-41.1830357142857,-5,316
-41.1160714285714,-5,348
-41.0491071428571,-5,463
-40.9821428571429,-5,597
-40.9151785714286,-5,557
-40.8482142857143,-5,302
-40.78125,-5,295
-40.7142857142857,-5,289
-40.6473214285714,-5,316
-40.5803571428571,-5,306
-40.5133928571429,-5,313
-40.4464285714286,-5,328
-40.3794642857143,-5,349
-40.3125,-5,390
-40.2455357142857,-5,424
-40.1785714285714,-5,502
-40.1116071428571,-5,571
-40.0446428571429,-5,473
-39.9776785714286,-5,428
-39.9107142857143,-5,435
-39.84375,-5,386
-39.7767857142857,-5,343
-39.7098214285714,-5,308
-39.6428571428571,-5,291
-39.5758928571429,-5,300
-39.5089285714286,-5,300
-39.4419642857143,-5,287
-39.375,-5,257
-39.3080357142857,-5,278
-39.2410714285714,-5,283
